FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.00438692098092643,0.9999999999999699
0.0,0.006212534059945504,0.9999999999999045
0.0,0.006267029972752043,0.9999999999999029
0.0,0.0062942779291553135,0.9999999999999017
0.0,0.006348773841961853,0.9999999999999016
0.0,0.0067847411444141685,0.9999999999998912
0.0,0.006839237057220709,0.99999999999989
0.0,0.0069209809264305176,0.999999999999888
0.0,0.006975476839237057,0.9999999999998876
0.0,0.00773841961852861,0.9999999999998437
0.0,0.00779291553133515,0.9999999999998432
0.0,0.008310626702997275,0.9999999999998137
0.0,0.008365122615803815,0.9999999999998128
0.0,0.008501362397820164,0.9999999999998023
0.0,0.008555858310626703,0.9999999999998013
0.0,0.015940054495912806,0.9999999999975905
9.345794392523364e-05,0.015940054495912806,0.999999999997566
9.345794392523364e-05,0.024659400544959128,0.9999999999767939
9.345794392523364e-05,0.024713896457765668,0.9999999999767412
9.345794392523364e-05,0.030790190735694823,0.999999999918474
0.00018691588785046728,0.030790190735694823,0.9999999999176094
0.00018691588785046728,0.03449591280653951,0.9999999998484987
0.00028037383177570094,0.03449591280653951,0.9999999998479282
0.00028037383177570094,0.038692098092643054,0.9999999997175144
0.00037383177570093456,0.038692098092643054,0.9999999997169468
0.00037383177570093456,0.04087193460490463,0.9999999996097065
0.00046728971962616824,0.04087193460490463,0.9999999996034489
0.00046728971962616824,0.05283378746594006,0.9999999983302784
0.0005607476635514019,0.05283378746594006,0.9999999983295002
0.0005607476635514019,0.0562125340599455,0.9999999974711193
0.0006542056074766356,0.0562125340599455,0.999999997469347
0.0006542056074766356,0.06591280653950954,0.9999999929779707
0.0007476635514018691,0.06591280653950954,0.9999999929400972
0.0007476635514018691,0.0697275204359673,0.9999999900288943
0.0008411214953271028,0.0697275204359673,0.9999999899315692
0.0008411214953271028,0.07779291553133515,0.9999999793236466
0.0009345794392523365,0.07779291553133515,0.9999999793181166
0.0009345794392523365,0.08163487738419618,0.99999997294542
0.00102803738317757,0.08163487738419618,0.9999999729338724
0.00102803738317757,0.08356948228882834,0.9999999686050259
0.0011214953271028037,0.08356948228882834,0.9999999685505733
0.0011214953271028037,0.08452316076294278,0.9999999659338252
0.0012149532710280374,0.08452316076294278,0.9999999658445926
0.0012149532710280374,0.08490463215258856,0.9999999645411403
0.001308411214953271,0.08490463215258856,0.9999999644954968
0.001308411214953271,0.08885558583106266,0.9999999513884039
0.0014018691588785046,0.08885558583106266,0.9999999513563119
0.0014018691588785046,0.09239782016348774,0.9999999357842662
0.0014953271028037382,0.09239782016348774,0.9999999355372462
0.0014953271028037382,0.09365122615803814,0.9999999276222665
0.001588785046728972,0.09365122615803814,0.9999999275522223
0.001588785046728972,0.09844686648501362,0.9999998948801749
0.0016822429906542056,0.09844686648501362,0.999999894629676
0.0016822429906542056,0.11100817438692098,0.9999997594280363
0.0017757009345794393,0.11100817438692098,0.9999997588726163
0.0017757009345794393,0.11841961852861035,0.9999996217977493
0.001869158878504673,0.11841961852861035,0.999999621645826
0.001869158878504673,0.12302452316076294,0.9999994909444362
0.0019626168224299067,0.12302452316076294,0.9999994894369272
0.0019626168224299067,0.12316076294277929,0.9999994859933417
0.00205607476635514,0.12316076294277929,0.9999994851688442
0.00205607476635514,0.13201634877384197,0.9999991716989636
0.002149532710280374,0.13201634877384197,0.9999991715437248
0.002149532710280374,0.13204359673024524,0.9999991713091818
0.0022429906542056075,0.13204359673024524,0.9999991708361221
0.0022429906542056075,0.13288828337874659,0.9999991291697691
0.002336448598130841,0.13288828337874659,0.9999991272351114
0.002336448598130841,0.13602179836512263,0.9999989848950226
0.002429906542056075,0.13602179836512263,0.9999989843395816
0.002429906542056075,0.1487465940054496,0.9999982403785634
0.0025233644859813083,0.1487465940054496,0.999998239587121
0.0025233644859813083,0.15264305177111717,0.9999979174970989
0.002616822429906542,0.15264305177111717,0.9999979144634916
0.002616822429906542,0.1535149863760218,0.9999978476998683
0.0027102803738317757,0.1535149863760218,0.9999978455914801
0.0027102803738317757,0.1546049046321526,0.999997736126224
0.002803738317757009,0.1546049046321526,0.9999977355163324
0.002803738317757009,0.15683923705722072,0.9999975283275705
0.002897196261682243,0.15683923705722072,0.999997521470569
0.002897196261682243,0.1582016348773842,0.9999974010707487
0.0029906542056074765,0.1582016348773842,0.9999974010032929
0.0029906542056074765,0.16002724795640327,0.9999971974570752
0.0030841121495327104,0.16002724795640327,0.9999971931759677
0.0030841121495327104,0.16122615803814713,0.9999970290048836
0.003177570093457944,0.16122615803814713,0.9999970281407355
0.003177570093457944,0.16501362397820163,0.9999964799288584
0.0032710280373831778,0.16501362397820163,0.9999964738223575
0.0032710280373831778,0.16904632152588556,0.999995870640256
0.0033644859813084112,0.16904632152588556,0.9999958624970561
0.0033644859813084112,0.16931880108991826,0.9999958132977674
0.0034579439252336447,0.16931880108991826,0.9999957982703548
0.0034579439252336447,0.17310626702997275,0.9999950131903739
0.0035514018691588786,0.17310626702997275,0.9999950086911296
