FPR,TPR,Threshold
0.0,0.0,inf
0.00037383177570093456,0.0045504087193460495,1.0
0.0005607476635514019,0.010572207084468665,0.9966666666666667
0.0009345794392523365,0.017493188010899184,0.9933333333333333
0.0017757009345794393,0.02446866485013624,0.99
0.002149532710280374,0.031416893732970026,0.9866666666666667
0.0025233644859813083,0.03782016348773842,0.9833333333333333
0.0030841121495327104,0.04376021798365123,0.98
0.0033644859813084112,0.05019073569482289,0.9766666666666667
0.0035514018691588786,0.05604904632152589,0.9733333333333334
0.003925233644859813,0.06256130790190735,0.97
0.0051401869158878505,0.0687465940054496,0.9666666666666667
0.005607476635514018,0.0753133514986376,0.9633333333333334
0.006448598130841122,0.08125340599455042,0.96
0.007757009345794393,0.0873841961852861,0.9566666666666667
0.008504672897196261,0.09283378746594005,0.9533333333333334
0.009439252336448599,0.0990190735694823,0.95
0.010373831775700934,0.10487738419618528,0.9466666666666667
0.011401869158878504,0.11029972752043597,0.9433333333333334
0.012242990654205607,0.11566757493188011,0.94
0.013457943925233645,0.12130790190735695,0.9366666666666666
0.014392523364485982,0.12702997275204359,0.9333333333333333
0.014953271028037384,0.13163487738419619,0.93
0.01588785046728972,0.1366485013623978,0.9266666666666666
0.016728971962616822,0.14147138964577657,0.9233333333333333
0.017102803738317757,0.14708446866485014,0.92
0.01766355140186916,0.15283378746594006,0.9166666666666666
0.01822429906542056,0.15782016348773842,0.9133333333333333
0.019345794392523364,0.1627792915531335,0.91
0.0202803738317757,0.1673024523160763,0.9066666666666666
0.021682242990654205,0.1722343324250681,0.9033333333333333
0.022990654205607478,0.17716621253405995,0.9
0.023925233644859812,0.1815258855585831,0.8966666666666666
0.02457943925233645,0.18550408719346048,0.8933333333333333
0.025327102803738316,0.18994550408719346,0.89
0.026074766355140187,0.19449591280653952,0.8866666666666667
0.02719626168224299,0.19948228882833788,0.8833333333333333
0.02822429906542056,0.20433242506811988,0.88
0.029065420560747665,0.20923705722070846,0.8766666666666667
0.030373831775700934,0.21482288828337875,0.8733333333333333
0.03177570093457944,0.21915531335149863,0.87
0.033177570093457946,0.22435967302452317,0.8666666666666667
0.03411214953271028,0.22893732970027247,0.8633333333333333
0.035046728971962614,0.23392370572207086,0.86
0.03663551401869159,0.23893732970027248,0.8566666666666667
0.037757009345794394,0.24362397820163487,0.8533333333333334
0.03925233644859813,0.24795640326975477,0.85
0.0405607476635514,0.252425068119891,0.8466666666666667
0.04205607476635514,0.25727520435967305,0.8433333333333334
0.04308411214953271,0.26220708446866486,0.84
0.044299065420560745,0.2673841961852861,0.8366666666666667
0.04495327102803738,0.2725068119891008,0.8333333333333334
0.046261682242990654,0.2780926430517711,0.83
0.04710280373831776,0.2825068119891008,0.8266666666666667
0.04822429906542056,0.28732970027247956,0.8233333333333334
0.049626168224299064,0.2925340599455041,0.82
0.05074766355140187,0.29702997275204357,0.8166666666666667
0.052336448598130844,0.30158038147138966,0.8133333333333334
0.05327102803738318,0.3073024523160763,0.81
0.05420560747663551,0.3122343324250681,0.8066666666666666
0.054672897196261686,0.31697547683923705,0.8033333333333333
0.05588785046728972,0.32147138964577654,0.8
0.057102803738317755,0.3269482288828338,0.7966666666666666
0.0585981308411215,0.33247956403269757,0.7933333333333333
0.0602803738317757,0.3378474114441417,0.79
0.06149532710280374,0.3434059945504087,0.7866666666666666
0.06261682242990654,0.3494005449591281,0.7833333333333333
0.06392523364485982,0.35504087193460493,0.78
0.06532710280373832,0.36,0.7766666666666666
0.06691588785046729,0.36555858310626704,0.7733333333333333
0.06803738317757009,0.3704359673024523,0.77
0.06953271028037383,0.3768119891008174,0.7666666666666667
0.07065420560747664,0.3829700272479564,0.7633333333333333
0.07158878504672897,0.38760217983651224,0.76
0.07280373831775701,0.3932697547683924,0.7566666666666667
0.07514018691588785,0.39923705722070846,0.7533333333333333
0.07644859813084112,0.40517711171662124,0.75
0.0780373831775701,0.41158038147138964,0.7466666666666667
0.0794392523364486,0.41806539509536783,0.7433333333333333
0.08037383177570094,0.42367847411444143,0.74
0.0811214953271028,0.4289373297002725,0.7366666666666667
0.08233644859813084,0.43525885558583105,0.7333333333333333
0.08355140186915888,0.4407901907356948,0.73
0.08514018691588784,0.44697547683923705,0.7266666666666667
0.08626168224299065,0.4532425068119891,0.7233333333333334
0.0883177570093458,0.4589100817438692,0.72
0.0902803738317757,0.4648773841961853,0.7166666666666667
0.09177570093457944,0.47038147138964576,0.7133333333333334
0.0933644859813084,0.476566757493188,0.71
0.09485981308411215,0.48223433242506814,0.7066666666666667
0.0966355140186916,0.4879291553133515,0.7033333333333334
0.09850467289719626,0.4928882833787466,0.7
0.10037383177570093,0.49847411444141687,0.6966666666666667
0.10233644859813085,0.5041144414168938,0.6933333333333334
0.10345794392523365,0.5103814713896457,0.69
0.10514018691588785,0.516158038147139,0.6866666666666666
0.10672897196261683,0.5215803814713896,0.6833333333333333
0.10859813084112149,0.5273569482288828,0.68
0.11018691588785047,0.5336512261580382,0.6766666666666666
0.11168224299065421,0.5391825613079019,0.6733333333333333
0.11336448598130841,0.5453405994550409,0.67
0.11532710280373831,0.5513623978201635,0.6666666666666666
0.11728971962616823,0.5571389645776567,0.6633333333333333
0.11934579439252337,0.5629427792915531,0.66
0.12102803738317756,0.5685286103542234,0.6566666666666666
