Precision,Recall,Threshold
0.7742616033755274,1.0,0.01
0.7742779383531299,1.0,0.013333333333333334
0.7743058485948181,0.9999727520435967,0.016666666666666666
0.7743337623699702,0.9999455040871935,0.02
0.7743616796792572,0.9999182561307902,0.023333333333333334
0.7744011818085892,0.9998637602179836,0.02666666666666667
0.7744686240158727,0.9997820163487738,0.03
0.7745619590458096,0.9997547683923705,0.03333333333333333
0.7746178532218563,0.9997002724795641,0.03666666666666667
0.774757650636761,0.9995640326975477,0.04
0.7749186631174209,0.9994550408719346,0.043333333333333335
0.7751172915169703,0.9993732970027248,0.04666666666666667
0.7753535866049344,0.9993188010899182,0.05
0.775599543205177,0.9993188010899182,0.05333333333333334
0.7758525852585259,0.9992643051771117,0.056666666666666664
0.776178481468154,0.9991553133514987,0.06
0.7765705087474054,0.9990463215258856,0.06333333333333334
0.7768241252887448,0.9988010899182561,0.06666666666666667
0.7771886664404479,0.9985286103542235,0.07
0.7775961967018273,0.9983106267029973,0.07333333333333333
0.7780821917808219,0.9982561307901907,0.07666666666666666
0.7786895701347847,0.9980381471389645,0.08
0.7793692006469737,0.9978474114441417,0.08333333333333333
0.7799220397469487,0.9976839237057221,0.08666666666666667
0.780545543730939,0.9972479564032698,0.09
0.7810485420313367,0.996975476839237,0.09333333333333334
0.781782423737147,0.9964850136239782,0.09666666666666666
0.7823239888722449,0.9961307901907357,0.1
0.7829915793533457,0.9957220708446867,0.10333333333333333
0.7836823135673218,0.9953405994550408,0.10666666666666667
0.7845694396699897,0.9950136239782016,0.11
0.785197934595525,0.994441416893733,0.11333333333333333
0.7860467120572265,0.9940599455040872,0.11666666666666667
0.7871233704567038,0.9937057220708447,0.12
0.7879174321841564,0.9932697547683924,0.12333333333333334
0.788918719958429,0.9928337874659401,0.12666666666666668
0.7898058778874308,0.9922070844686649,0.13
0.7906754437419887,0.9916621253405995,0.13333333333333333
0.7913529744549371,0.9909809264305177,0.13666666666666666
0.7921687403307694,0.990599455040872,0.14
0.7932284048986007,0.9901089918256131,0.14333333333333334
0.7942572222100728,0.9896185286103543,0.14666666666666667
0.795311644210757,0.9891553133514986,0.15
0.796483680502206,0.9887465940054496,0.15333333333333332
0.7973659330269783,0.9881471389645776,0.15666666666666668
0.7985061472700833,0.9874931880108991,0.16
0.7994084668697303,0.986866485013624,0.16333333333333333
0.8005042128308897,0.9863215258855585,0.16666666666666666
0.8013246500088606,0.9856948228882834,0.17
