Precision,Recall,Threshold
0.7742616033755274,1.0,0.00011516683
0.7742779383531299,1.0,0.00015586788
0.7742942740200008,1.0,0.000172883
0.7742895119944301,0.9999727520435967,0.00019475074
0.7743058485948181,0.9999727520435967,0.0002240792
0.774322185884587,0.9999727520435967,0.00022935969
0.7743385238637802,0.9999727520435967,0.00024488708
0.7743337623699702,0.9999455040871935,0.00024564055
0.7743290006752195,0.9999182561307902,0.00025257605
0.7743453398324577,0.9999182561307902,0.0002673956
0.7743616796792572,0.9999182561307902,0.00026819963
0.7743780202156618,0.9999182561307902,0.0002754159
0.7743943614417153,0.9999182561307902,0.0002914684
0.7744107033574609,0.9999182561307902,0.00030846774
0.7744270459629427,0.9999182561307902,0.00030854213
0.7744433892582041,0.9999182561307902,0.00033238524
0.7744597332432889,0.9999182561307902,0.00033986542
0.7744549733026613,0.9998910081743869,0.00034262319
0.7744713182221097,0.9998910081743869,0.0003454519
0.7744876638314936,0.9998910081743869,0.00035798928
0.7745040101308569,0.9998910081743869,0.00036356514
0.7745203571202431,0.9998910081743869,0.0003682033
0.774536704799696,0.9998910081743869,0.00037163318
0.7745530531692594,0.9998910081743869,0.0003809758
0.7745694022289767,0.9998910081743869,0.00038353176
0.7745646437994723,0.9998637602179836,0.00038366157
0.7745809937940643,0.9998637602179836,0.00039244283
0.7745973444789226,0.9998637602179836,0.0003988215
0.774613695854091,0.9998637602179836,0.00040143167
0.7746089379578223,0.9998365122615804,0.0004144127
0.7746252902681022,0.9998365122615804,0.00041882903
0.7746416432688045,0.9998365122615804,0.00043549747
0.7746368856612059,0.9998092643051771,0.000438301
0.7746321278527245,0.9997820163487738,0.00044211623
0.7746273698433476,0.9997547683923705,0.00044807274
0.774643724268975,0.9997547683923705,0.00045183237
0.7746600793851871,0.9997547683923705,0.0004576574
0.7746764351920276,0.9997547683923705,0.00046624365
0.7746927916895401,0.9997547683923705,0.00046938888
0.7747091488777686,0.9997547683923705,0.00047929084
0.7747255067567568,0.9997547683923705,0.00048137316
0.7747418653265483,0.9997547683923705,0.00048755962
0.7747582245871869,0.9997547683923705,0.0004989937
0.7747534683362544,0.9997275204359674,0.00050687406
0.7747698285328153,0.9997275204359674,0.000518579
0.7747861894203357,0.9997275204359674,0.00052493345
0.7748025509988596,0.9997275204359674,0.00052850053
0.7748189132684308,0.9997275204359674,0.00052862195
0.7748141577969252,0.9997002724795641,0.0005347642
0.7748305210027243,0.9997002724795641,0.00053720316
0.7748468848996832,0.9997002724795641,0.00053895666
0.7748421297176287,0.9996730245231608,0.00054180814
0.7748373743347132,0.9996457765667575,0.00054224906
0.774853739413268,0.9996457765667575,0.0005443658
0.77487010518312,0.9996457765667575,0.0005472578
